Model,Mean_AUC_ratio,pval_pROC,Omission_rate_at_5%,AICc,delta_AICc,W_AICc,num_parameters
M_0.5_F_lq_Set_3,1.727097435,0,0.090909091,2790.920691,110.9372008,9.25E-28,19
M_0.5_F_lp_Set_1,1.778233829,0,0.095238095,3185.824987,505.841497,1.64E-113,85
M_0.5_F_lp_Set_2,1.756985473,0,0.142857143,2758.878937,78.89544703,8.41E-21,41
M_0.5_F_lp_Set_3,1.710201999,0,0,2844.54758,164.5640902,2.10E-39,42
M_0.5_F_lt_Set_1,1.837865202,0,0.761904762,NA,NA,NA,165
M_0.5_F_lt_Set_2,1.818520422,0,0.285714286,4288.411986,1608.428496,0,113
M_0.5_F_lt_Set_3,1.798326447,0,0.318181818,7912.245214,5232.261724,0,123
M_0.5_F_lh_Set_1,1.82860841,0,0.047619048,3326.729114,646.7456238,4.17E-144,96
M_0.5_F_lh_Set_2,1.742641058,0,0.047619048,2913.036092,233.0526021,2.83E-54,70
M_0.5_F_lh_Set_3,1.76115493,0,0.136363636,3032.774234,352.7907445,2.83E-80,72
M_0.5_F_qp_Set_1,1.773547515,0,0.095238095,3060.840213,380.8567228,2.28E-86,80
M_0.5_F_qp_Set_2,1.764372138,0,0.142857143,2757.851775,77.86828559,1.42E-20,44
M_0.5_F_qp_Set_3,1.736233122,0,0.045454545,2835.724934,155.7414441,1.75E-37,41
M_0.5_F_qt_Set_1,1.828790728,0,0.714285714,NA,NA,NA,167
M_0.5_F_qt_Set_2,1.841085953,0,0.333333333,5241.042575,2561.059085,0,118
M_0.5_F_qt_Set_3,1.799599735,0,0.318181818,7111.639027,4431.655537,0,122
M_0.5_F_qh_Set_1,1.790059647,0,0.047619048,4177.730405,1497.746915,0,111
M_0.5_F_qh_Set_2,1.731332249,0,0.142857143,2864.314714,184.3312244,1.09E-43,64
M_0.5_F_qh_Set_3,1.755663935,0,0.181818182,2994.625203,314.6417127,5.50E-72,68
M_0.5_F_pt_Set_1,1.826290033,0,0.761904762,NA,NA,NA,166
M_0.5_F_pt_Set_2,1.822825719,0,0.333333333,6382.735595,3702.752105,0,121
M_0.5_F_pt_Set_3,1.806406324,0,0.363636364,5673.633001,2993.649511,0,119
M_0.5_F_ph_Set_1,1.797396259,0,0.047619048,4547.861489,1867.877999,0,114
M_0.5_F_ph_Set_2,1.751617009,0,0.142857143,3172.190871,492.2073815,1.53E-110,89
M_0.5_F_ph_Set_3,1.779667892,0,0.136363636,3134.126036,454.1425464,2.82E-102,81
M_0.5_F_th_Set_1,1.828103405,0,0.666666667,NA,NA,NA,167
M_0.5_F_th_Set_2,1.792574273,0,0.380952381,5240.405061,2560.421571,0,118
M_0.5_F_th_Set_3,1.804846796,0,0.318181818,10706.28119,8026.297697,0,125
M_0.5_F_lqp_Set_1,1.768338312,0,0.095238095,3048.736824,368.7533344,9.86E-84,77
M_0.5_F_lqp_Set_2,1.765406738,0,0.142857143,2755.164789,75.18129876,5.53E-20,43
M_0.5_F_lqp_Set_3,1.704166607,0,0.090909091,2830.795295,150.8118051,2.09E-36,40
M_0.5_F_lqt_Set_1,1.835280033,0,0.761904762,NA,NA,NA,167
M_0.5_F_lqt_Set_2,1.842440235,0,0.333333333,5241.042575,2561.059085,0,118
M_0.5_F_lqt_Set_3,1.804316544,0,0.318181818,7911.392629,5231.409139,0,123
M_0.5_F_lqh_Set_1,1.782516444,0,0.047619048,4410.44467,1730.46118,0,113
M_0.5_F_lqh_Set_2,1.732205323,0,0.238095238,2799.607987,119.624497,1.24E-29,55
M_0.5_F_lqh_Set_3,1.762582311,0,0.181818182,3004.191776,324.2082863,4.68E-74,69
M_0.5_F_lpt_Set_1,1.831191255,0,0.761904762,NA,NA,NA,168
M_0.5_F_lpt_Set_2,1.822094484,0,0.380952381,5544.112458,2864.128968,0,119
M_0.5_F_lpt_Set_3,1.797713746,0,0.363636364,5673.633001,2993.649511,0,119
M_0.5_F_lph_Set_1,1.786555836,0,0.047619048,4541.840875,1861.857385,0,114
M_0.5_F_lph_Set_2,1.75136269,0,0.142857143,3238.273837,558.2903472,6.95E-125,92
M_0.5_F_lph_Set_3,1.778556755,0,0.136363636,3232.306275,552.3227849,1.38E-123,87
M_0.5_F_lth_Set_1,1.828198635,0,0.666666667,NA,NA,NA,163
M_0.5_F_lth_Set_2,1.80459546,0,0.380952381,5916.595044,3236.611554,0,120
M_0.5_F_lth_Set_3,1.808460579,0,0.318181818,35859.87655,33179.89306,0,128
M_0.5_F_qpt_Set_1,1.826712139,0,0.857142857,NA,NA,NA,167
M_0.5_F_qpt_Set_2,1.821849005,0,0.285714286,8897.53776,6217.55427,0,124
M_0.5_F_qpt_Set_3,1.82103823,0,0.363636364,7909.481405,5229.497916,0,123
M_0.5_F_qph_Set_1,1.79333922,0,0.047619048,3980.880639,1300.897149,3.89E-286,109
M_0.5_F_qph_Set_2,1.73897245,0,0.19047619,2959.607097,279.6236075,2.28E-64,75
M_0.5_F_qph_Set_3,1.781367689,0,0.136363636,3077.644059,397.6605689,5.33E-90,77
M_0.5_F_qth_Set_1,1.825669124,0,0.714285714,NA,NA,NA,167
M_0.5_F_qth_Set_2,1.808568037,0,0.380952381,6383.791674,3703.808184,0,121
M_0.5_F_qth_Set_3,1.803273,0,0.318181818,13499.16382,10819.18033,0,126
M_0.5_F_pth_Set_1,1.834264127,0,0.714285714,NA,NA,NA,171
M_0.5_F_pth_Set_2,1.804535922,0,0.333333333,10572.69431,7892.710816,0,125
M_0.5_F_pth_Set_3,1.80964338,0,0.318181818,13498.28173,10818.29824,0,126
M_0.5_F_lqpt_Set_1,1.826764726,0,0.761904762,NA,NA,NA,167
M_0.5_F_lqpt_Set_2,1.823687486,0,0.285714286,8897.53776,6217.55427,0,124
M_0.5_F_lqpt_Set_3,1.793862164,0,0.363636364,7909.481405,5229.497916,0,123
M_0.5_F_lqph_Set_1,1.799271924,0,0.047619048,4703.000022,2023.016532,0,115
M_0.5_F_lqph_Set_2,1.739242416,0,0.19047619,2959.915512,279.9320225,1.97E-64,75
M_0.5_F_lqph_Set_3,1.782155909,0,0.136363636,2980.449728,300.4662387,6.87E-69,68
M_0.5_F_lqth_Set_1,1.826466368,0,0.714285714,NA,NA,NA,166
M_0.5_F_lqth_Set_2,1.831791669,0,0.428571429,6383.791674,3703.808184,0,121
M_0.5_F_lqth_Set_3,1.80571569,0,0.318181818,19090.01927,16410.03578,0,127
M_0.5_F_lpth_Set_1,1.830358425,0,0.714285714,NA,NA,NA,176
M_0.5_F_lpth_Set_2,1.812709484,0,0.333333333,8896.220405,6216.236915,0,124
M_0.5_F_lpth_Set_3,1.805849762,0,0.318181818,13498.28173,10818.29824,0,126
M_0.5_F_qpth_Set_1,1.819381636,0,0.761904762,NA,NA,NA,174
M_0.5_F_qpth_Set_2,1.806198813,0,0.380952381,7777.153421,5097.169931,0,123
M_0.5_F_qpth_Set_3,1.806858044,0,0.318181818,NA,NA,NA,132
M_0.5_F_lqpth_Set_1,1.825150021,0,0.666666667,NA,NA,NA,174
M_0.5_F_lqpth_Set_2,1.809516927,0,0.380952381,7777.153421,5097.169931,0,123
M_0.5_F_lqpth_Set_3,1.803225537,0,0.318181818,NA,NA,NA,132
M_0.6_F_l_Set_1,1.757611849,0,0.095238095,2724.600492,44.61700175,2.50E-13,20
M_0.6_F_l_Set_2,1.67382882,0,0.095238095,2745.868935,65.8854454,6.02E-18,12
M_0.6_F_l_Set_3,1.712070962,0,0.045454545,2791.87379,111.8903004,6.17E-28,10
M_0.6_F_q_Set_1,1.786426325,0,0.095238095,2693.516464,13.53297467,1.41E-06,19
M_0.6_F_q_Set_2,1.739001628,0,0.095238095,2680.335556,0.352065751,0.001026063,12
M_0.6_F_q_Set_3,1.731791562,0,0.090909091,2794.10885,114.1253605,2.02E-28,10
M_0.6_F_p_Set_1,1.770165789,0,0.142857143,3146.931081,466.9475913,4.92E-105,85
M_0.6_F_p_Set_2,1.729485752,0,0.142857143,2749.475167,69.49167738,9.98E-19,38
M_0.6_F_p_Set_3,1.716101208,0,0.045454545,2827.235182,147.2516918,1.30E-35,35
M_0.6_F_t_Set_1,1.809157644,0,0.571428571,NA,NA,NA,143
M_0.6_F_t_Set_2,1.771657237,0,0.285714286,3385.572644,705.5891544,7.47E-157,100
M_0.6_F_t_Set_3,1.777537729,0,0.318181818,3473.374205,793.3907155,6.43E-176,99
M_0.6_F_h_Set_1,1.785461876,0,0.047619048,3206.094325,526.1108347,7.04E-118,91
M_0.6_F_h_Set_2,1.752249492,0,0.047619048,2931.890321,251.9068307,2.46E-58,71
M_0.6_F_h_Set_3,1.724087312,0,0.136363636,3108.447023,428.4635328,1.13E-96,78
